time,d,e,x_1,x_2
0,-0,0.2107017861364,0.2107017861364,-0.256555343740581
0.1,-0.0131694282331054,0.18555341374833,0.18555341374833,-0.246338768321572
0.2,-0.0250497410739525,0.161383185786908,0.161383185786908,-0.236989047466597
0.3,-0.0344780107266723,0.13811175699777,0.13811175699777,-0.228360656386795
0.4,-0.0405313324670394,0.115679609458138,0.115679609458138,-0.220204124490369
0.5,-0.0426171649871339,0.0940558174109742,0.0940558174109742,-0.212198273476976
0.6,-0.0405313324670394,0.0732432554103657,0.0732432554103657,-0.2039889961652
0.7,-0.0344780107266723,0.0532797877623837,0.0532797877623837,-0.195230781647392
0.8,-0.0250497410739525,0.034235370360622,0.034235370360622,-0.185626925709446
0.9,-0.0131694282331054,0.0162053956670921,0.0162053956670921,-0.174964496136562
1,-5.21909746902282e-18,-0.000699021325328924,-0.000699021325328924,-0.163140637762229
1.1,0.0131694282331054,-0.0163628197082365,-0.0163628197082365,-0.150177651476729
1.2,0.0250497410739524,-0.0306796344990092,-0.0306796344990092,-0.136225381757896
1.3,0.0344780107266723,-0.0435640227883833,-0.0435640227883833,-0.121550690917113
1.4,0.0405313324670394,-0.0549620352141143,-0.0549620352141143,-0.106515063438631
1.5,0.0426171649871339,-0.0648590571068039,-0.0648590571068039,-0.0915425466918077
1.6,0.0405313324670394,-0.0732841123647019,-0.0732841123647019,-0.0770811810876056
1.7,0.0344780107266723,-0.0803101708922285,-0.0803101708922285,-0.0635617107611425
1.8,0.0250497410739525,-0.0860503932258211,-0.0860503932258211,-0.0513576326453488
1.9,0.0131694282331054,-0.0906506453090026,-0.0906506453090026,-0.0407505112495046
2,1.04381949380456e-17,-0.0942789831643802,-0.0942789831643802,-0.031903971357025
2.1,-0.0131694282331054,-0.0971131055288948,-0.0971131055288948,-0.0248489316380919
2.2,-0.0250497410739524,-0.0993269731581124,-0.0993269731581124,-0.0194815419691991
2.3,-0.0344780107266723,-0.101077876815947,-0.101077876815947,-0.0155740437660927
2.4,-0.0405313324670394,-0.102495193783885,-0.102495193783885,-0.0127975075969776
